1,DAV Publicl School,Secondary,INR,Punjabi Bagh,Patiala,India,dav@school.com,,Alex,,8:00 AM,,1
2,Disney Land School,Kintergarten,INR,Sirhind Road,Patiala,India,disney@school.com,,Fred,,9:00 AM,,1
3,St. Peters School,Primary,INR,Dukhnivaran Colony,Patiala,India,peter@school.com,,Peter,,10:00 AM,,1
4,Our Lady Of Fatima,Primary,INR,Passy Road,Patiala,India,fatima@school.com,,Parker,,11:00 AM,,1
5,Budha Dal Public School,Secondary,INR,Fountain Chownk,Patiala,India,budhadal@school.com,,Singh,,12:00 PM,,1
6,Dehradun Public School,Kintergarten,INR,22 No,Patiala,India,dehradun@school.com,,Atul,,1:00 PM,,1
7,Multipurpose School,Primary,INR,Punjabi Bagh,Patiala,India,multipurpose@school.com,,Sham,,2:00 PM,,1
8,Army School,Secondary,INR,Meher Singh Colony,Patiala,India,,,Singh,,3:00 PM,,1
9,Sunflower Public School,Secondary,INR,Moti Bagh Colony,Patiala,India,,,Perminder,,4:00 PM,,1
10,Yadwindra Public School,Secondary,USD,YPS Road,Patiala,India,,,Jashan,,5:00 PM,,0
